Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
25-34,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,"Beer,Cocktails,Whiskey",Very likely,Online,At home,Coffee,Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Doesn’t matter,<₹100,Very likely,"Lack of availability,Health concerns,High price",Maybe,Yes,Often,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Never,Cocktails,Likely,Online,Restaurants,Lime,Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Yes,₹100–₹200,Unlikely,Not enough information/branding,Maybe,Yes,Always,Yes,Retail shop
35-44,Female,Student,"<20,000",Tier 1,Rarely,"Beer,Whiskey,Rum",Very likely,Retail shop,Outdoors,"Litchi,Pineapple,Guava",Can,Pack of 24,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Yes,₹200–₹300,Very likely,Poor packaging,Maybe,Yes,Often,Yes,Retail shop
18-24,Male,Student,">1,00,000",Tier 2,Occasionally,Beer,Very likely,Online,Bars/Pubs,Litchi,Glass bottle,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Doesn’t matter,<₹100,Very likely,Limited flavour options,Yes,Maybe,Occasionally,Yes,Retail shop
25-34,Female,Entrepreneur,"20,000–50,000",Tier 3/Rural,Occasionally,"Cocktails,Beer",Likely,Retail shop,Social gatherings,Berry,Can,Pack of 2,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,Yes,<₹100,Likely,"Health concerns,High price,Poor packaging",No,Maybe,Occasionally,Yes,Retail shop
18-24,Female,Working Professional,"<20,000",Tier 3/Rural,Rarely,Vodka,Neutral,Retail shop,Social gatherings,"Coffee,Lime",Can,Pack of 12,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Doesn’t matter,₹200–₹300,Neutral,"Lack of availability,Poor packaging,Not enough information/branding",Yes,Maybe,Occasionally,Yes,Bar
18-24,Female,Student,"20,000–50,000",Tier 1,Never,"Beer,Whiskey",Likely,Retail shop,Social gatherings,Berry,Glass bottle,Pack of 6,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,"Other,Limited flavour options,Not enough information/branding",Maybe,Yes,Occasionally,Yes,Retail shop
25-34,Male,Student,"20,000–50,000",Tier 2,Frequently,Rum,Very unlikely,Online,Restaurants,"Mint,Pineapple,Orange",Glass bottle,Pack of 2,Slightly interested,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Yes,₹200–₹300,Likely,"Other,High price,Lack of availability",No,No,Often,No,Retail shop
45-54,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Cocktails,Beer,Vodka",Likely,Duty-free,Social gatherings,"Lime,Pineapple",Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,No,<₹100,Very likely,Lack of availability,Yes,Yes,Often,Yes,Retail shop
25-34,Male,Student,"20,000–50,000",Tier 1,Rarely,"Beer,Rum",Very likely,Online,Restaurants,"Guava,Classic",Glass bottle,Pack of 24,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,₹100–₹200,Likely,Limited flavour options,No,Maybe,Occasionally,No,Restaurant
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,Beer,Likely,Retail shop,At home,Berry,Can,Pack of 6,Not interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,No,>₹300,Very likely,"Not enough information/branding,Limited flavour options,Lack of availability",Maybe,Yes,Occasionally,Yes,Restaurant
18-24,Prefer not to say,Homemaker,"20,000–50,000",Tier 1,Occasionally,"Vodka,Beer",Very unlikely,Bar,Social gatherings,"Litchi,Berry",No preference,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Slightly,Yes,>₹300,Unlikely,"Lack of availability,High price",Yes,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Cocktails,Rum",Neutral,Online,Social gatherings,"Pineapple,Guava",Can,Pack of 2,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,₹100–₹200,Very likely,"Poor packaging,Limited flavour options,Health concerns",Yes,No,Often,Yes,Restaurant
18-24,Male,Homemaker,"20,000–50,000",Tier 1,Occasionally,Vodka,Very unlikely,Restaurant,Bars/Pubs,"Guava,Mango,Berry",No preference,Pack of 2,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,No,₹200–₹300,Likely,"Health concerns,Not enough information/branding,High price",Yes,Yes,Occasionally,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 2,Never,"Beer,Whiskey,Rum",Likely,Restaurant,Outdoors,Berry,Glass bottle,Pack of 6,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,Not enough information/branding,Yes,Maybe,Often,No,Restaurant
18-24,Male,Working Professional,">1,00,000",Tier 3/Rural,Occasionally,"Gin,Vodka",Very likely,Retail shop,Social gatherings,"Guava,Mint,Lime",Glass bottle,Pack of 2,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Extremely,No,₹100–₹200,Likely,"Not enough information/branding,Lack of availability",Maybe,Yes,Often,No,Restaurant
25-34,Male,Student,"50,000–1,00,000",Metro,Rarely,Whiskey,Very likely,Retail shop,Restaurants,Guava,Can,Pack of 6,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Yes,₹100–₹200,Very unlikely,Poor packaging,Yes,Yes,Always,Yes,Restaurant
25-34,Male,Working Professional,"50,000–1,00,000",Metro,Rarely,Whiskey,Very likely,Online,Bars/Pubs,"Mango,Mint,Berry",No preference,Pack of 6,Very interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,No,₹100–₹200,Very likely,"Limited flavour options,Poor packaging",Maybe,No,Occasionally,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,Beer,Unlikely,Duty-free,At home,"Mango,Berry",Can,Pack of 6,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,No,₹100–₹200,Likely,Lack of availability,Yes,Yes,Never,Yes,Bar
18-24,Female,Student,"50,000–1,00,000",Tier 2,Occasionally,"Beer,Vodka",Neutral,Duty-free,Social gatherings,"Classic,Guava",Can,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Slightly,Yes,>₹300,Very likely,Not enough information/branding,Maybe,Yes,Occasionally,Yes,Online
25-34,Female,Working Professional,"50,000–1,00,000",Metro,Rarely,Cocktails,Likely,Bar,At home,"Guava,Litchi",Glass bottle,Pack of 2,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,No,₹100–₹200,Neutral,"Health concerns,High price,Poor packaging",Yes,Maybe,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,"50,000–1,00,000",Tier 1,Frequently,Cocktails,Very likely,Bar,Restaurants,Orange,No preference,Pack of 6,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Neutral,"Poor packaging,Limited flavour options,High price",Yes,Yes,Often,No,Bar
35-44,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Vodka,Cocktails,Rum",Likely,Bar,At home,Litchi,Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Not at all,Doesn’t matter,₹200–₹300,Neutral,Not enough information/branding,Maybe,No,Occasionally,Yes,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Tier 2,Frequently,Whiskey,Neutral,Retail shop,At home,Litchi,Glass bottle,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Likely,"Not enough information/branding,High price",No,Yes,Occasionally,No,Restaurant
25-34,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Beer,Whiskey",Likely,Retail shop,Outdoors,"Orange,Lime",No preference,Pack of 12,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,No,>₹300,Likely,Lack of availability,Yes,No,Occasionally,Yes,Bar
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Never,"Rum,Beer",Likely,Retail shop,Bars/Pubs,Lime,Glass bottle,Pack of 2,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Extremely,Yes,<₹100,Neutral,Lack of availability,Yes,Maybe,Occasionally,Yes,Bar
18-24,Male,Working Professional,"<20,000",Tier 1,Rarely,"Gin,Rum",Likely,Other,Social gatherings,Pineapple,No preference,Pack of 6,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Slightly,Yes,₹100–₹200,Unlikely,"High price,Poor packaging",Maybe,No,Often,Yes,Retail shop
18-24,Female,Working Professional,"20,000–50,000",Metro,Occasionally,"Vodka,Rum",Likely,Online,Social gatherings,"Guava,Lime",Can,Pack of 12,Slightly interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,Yes,₹100–₹200,Likely,"Poor packaging,Not enough information/branding",Maybe,Yes,Often,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Gin,Vodka",Likely,Bar,Social gatherings,"Pineapple,Classic,Orange",Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Yes,₹100–₹200,Likely,"High price,Lack of availability,Not enough information/branding",Maybe,Maybe,Often,Yes,Bar
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Rarely,"Vodka,Beer,Whiskey",Very likely,Online,Social gatherings,"Coffee,Classic,Mint",No preference,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Extremely,Yes,₹200–₹300,Very likely,"Health concerns,Other,High price",Yes,Yes,Occasionally,Yes,Retail shop
25-34,Female,Working Professional,"<20,000",Tier 2,Occasionally,"Rum,Beer",Likely,Retail shop,Social gatherings,Berry,No preference,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Doesn’t matter,<₹100,Likely,Lack of availability,Maybe,Yes,Occasionally,No,Retail shop
25-34,Female,Working Professional,">1,00,000",Tier 1,Frequently,"Rum,Whiskey",Very likely,Bar,Outdoors,Berry,Glass bottle,Pack of 6,Very interested,"Price,Brand,Flavour variety,Packaging,Social cause",Slightly,Doesn’t matter,₹200–₹300,Neutral,Not enough information/branding,Yes,No,Often,Yes,Bar
35-44,Female,Entrepreneur,">1,00,000",Tier 1,Occasionally,"Whiskey,Beer,Vodka",Neutral,Duty-free,Social gatherings,"Berry,Orange,Mango",Glass bottle,Pack of 6,Not interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,>₹300,Very likely,"Limited flavour options,Not enough information/branding,High price",Maybe,Maybe,Never,No,Retail shop
35-44,Male,Working Professional,"<20,000",Tier 3/Rural,Occasionally,Cocktails,Very likely,Bar,Social gatherings,"Mango,Guava,Berry",Glass bottle,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Extremely,Yes,<₹100,Very unlikely,"Limited flavour options,High price",No,Yes,Never,No,Retail shop
55+,Male,Entrepreneur,"50,000–1,00,000",Metro,Frequently,Beer,Unlikely,Online,Bars/Pubs,Berry,Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Not at all,Yes,>₹300,Likely,"Other,Poor packaging,Not enough information/branding",Yes,Yes,Occasionally,Yes,Retail shop
18-24,Male,Student,"20,000–50,000",Tier 2,Frequently,"Beer,Whiskey",Likely,Retail shop,Social gatherings,"Lime,Berry,Mango",Can,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Slightly,Yes,>₹300,Neutral,"Lack of availability,Poor packaging,Not enough information/branding",Yes,Yes,Occasionally,No,Bar
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Frequently,Cocktails,Likely,Bar,Social gatherings,Mint,Glass bottle,Pack of 2,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,<₹100,Neutral,"Lack of availability,Not enough information/branding,Poor packaging",Yes,Yes,Occasionally,Yes,Retail shop
18-24,Female,Homemaker,"50,000–1,00,000",Tier 3/Rural,Occasionally,Vodka,Very unlikely,Online,Bars/Pubs,Berry,Can,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Very unlikely,High price,Yes,Yes,Often,No,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Metro,Never,"Whiskey,Beer,Cocktails",Unlikely,Retail shop,At home,Guava,Glass bottle,Pack of 12,Neutral,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,₹200–₹300,Very likely,"Health concerns,High price,Poor packaging",Maybe,Yes,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Rarely,Whiskey,Likely,Retail shop,Social gatherings,"Orange,Classic",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Neutral,Limited flavour options,Yes,Yes,Occasionally,No,Restaurant
45-54,Male,Student,"20,000–50,000",Tier 2,Rarely,"Cocktails,Whiskey,Beer",Likely,Retail shop,Restaurants,Lime,Can,Pack of 24,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,No,>₹300,Neutral,"Not enough information/branding,Health concerns,High price",Maybe,Yes,Occasionally,Yes,Retail shop
25-34,Female,Entrepreneur,"20,000–50,000",Tier 1,Rarely,"Vodka,Cocktails,Beer",Likely,Retail shop,Social gatherings,Orange,Glass bottle,Pack of 2,Slightly interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Doesn’t matter,₹200–₹300,Likely,"Health concerns,Poor packaging,High price",Yes,Maybe,Often,Yes,Retail shop
55+,Male,Student,"50,000–1,00,000",Tier 2,Never,Vodka,Likely,Bar,At home,"Berry,Litchi",No preference,Pack of 12,Very interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Yes,<₹100,Unlikely,"Limited flavour options,Lack of availability,High price",Maybe,No,Occasionally,No,Restaurant
45-54,Female,Working Professional,"<20,000",Tier 1,Rarely,"Rum,Whiskey,Cocktails",Likely,Pub,At home,"Berry,Lime,Mint",Glass bottle,Pack of 2,Not interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,No,<₹100,Likely,"Poor packaging,Limited flavour options,Lack of availability",Maybe,No,Often,Yes,Retail shop
45-54,Female,Student,"20,000–50,000",Tier 1,Occasionally,"Rum,Vodka",Neutral,Pub,At home,"Orange,Lime",Can,Pack of 2,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Extremely,Yes,₹100–₹200,Likely,Not enough information/branding,Yes,Yes,Always,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Beer,Rum,Whiskey",Neutral,Online,Bars/Pubs,"Mango,Classic,Guava",Glass bottle,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,No,₹100–₹200,Likely,"High price,Limited flavour options",Yes,Yes,Always,No,Retail shop
35-44,Female,Homemaker,"20,000–50,000",Tier 2,Rarely,Other,Very unlikely,Retail shop,Bars/Pubs,"Lime,Mango",No preference,Pack of 2,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Unlikely,"Lack of availability,Poor packaging",Maybe,No,Often,Yes,Restaurant
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,Beer,Neutral,Restaurant,At home,"Classic,Guava,Orange",Glass bottle,Pack of 12,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Yes,₹200–₹300,Neutral,"Lack of availability,Limited flavour options,Not enough information/branding",No,Maybe,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Beer,Gin",Neutral,Restaurant,Social gatherings,"Lime,Coffee",Can,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,No,₹200–₹300,Likely,"Limited flavour options,Poor packaging",Yes,Yes,Often,Yes,Bar
18-24,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Rarely,Beer,Neutral,Pub,Bars/Pubs,Mint,Can,Pack of 12,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Unlikely,"Other,Limited flavour options",Maybe,Maybe,Often,No,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Never,Other,Likely,Retail shop,Restaurants,"Mango,Mint,Classic",No preference,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,No,<₹100,Neutral,Limited flavour options,No,No,Occasionally,No,Restaurant
18-24,Male,Student,"<20,000",Tier 1,Frequently,Whiskey,Likely,Retail shop,At home,"Berry,Guava,Mango",Can,Pack of 2,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Yes,<₹100,Likely,Not enough information/branding,Maybe,Yes,Often,No,Online
35-44,Male,Entrepreneur,"50,000–1,00,000",Metro,Never,"Whiskey,Rum,Beer",Likely,Online,At home,"Coffee,Classic",Can,Pack of 12,Very interested,"Brand,Flavour variety,Price,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Neutral,Not enough information/branding,Yes,Maybe,Occasionally,Yes,Retail shop
45-54,Female,Student,"<20,000",Tier 3/Rural,Frequently,"Whiskey,Beer",Very likely,Retail shop,At home,Litchi,No preference,Pack of 2,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Not at all,Doesn’t matter,>₹300,Very likely,Health concerns,No,Maybe,Occasionally,No,Other
25-34,Male,Student,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Beer,Cocktails",Neutral,Restaurant,Social gatherings,"Litchi,Pineapple",No preference,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Slightly,No,>₹300,Very likely,Not enough information/branding,Maybe,Yes,Often,No,Retail shop
25-34,Female,Entrepreneur,"20,000–50,000",Metro,Frequently,"Beer,Whiskey",Likely,Retail shop,At home,"Mango,Berry,Pineapple",Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Slightly,No,₹200–₹300,Likely,"Limited flavour options,Other,Lack of availability",Yes,Maybe,Occasionally,No,Other
25-34,Female,Working Professional,"50,000–1,00,000",Tier 3/Rural,Frequently,"Rum,Whiskey",Very likely,Retail shop,Outdoors,"Lime,Litchi,Orange",Can,Pack of 12,Neutral,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Yes,₹100–₹200,Likely,"Limited flavour options,Lack of availability,Other",Yes,Yes,Occasionally,Yes,Restaurant
35-44,Male,Working Professional,"<20,000",Tier 3/Rural,Frequently,"Vodka,Cocktails,Beer",Likely,Retail shop,Social gatherings,Orange,Glass bottle,Pack of 2,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹100–₹200,Very unlikely,"High price,Limited flavour options,Lack of availability",Yes,Yes,Often,No,Bar
25-34,Female,Working Professional,"50,000–1,00,000",Tier 1,Rarely,"Whiskey,Beer,Gin",Likely,Duty-free,Social gatherings,"Litchi,Guava",Can,Pack of 6,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Yes,₹100–₹200,Likely,"Lack of availability,Health concerns,Not enough information/branding",Yes,Maybe,Always,Yes,Other
18-24,Male,Working Professional,"50,000–1,00,000",Tier 1,Never,Vodka,Very likely,Retail shop,At home,Pineapple,Glass bottle,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹100–₹200,Very likely,"Poor packaging,Limited flavour options",Yes,Maybe,Occasionally,Yes,Bar
